"agency","count_all_article_instances","count_unique_articles","count_unique_biodata_resources","associated_PMIDs","associated_biodata_resources"
"National Institutes of Health",195,126,115,"30239679, 33401309, 30371900, 32765587, 31586392, 27193158, 30534948, 29509874, 31210271, 30668638, 33095860, 32392296, 33167031, 30357367, 32890396, 31725864, 33211888, 30371892, 31612957, 33079988, 33119734, 33174603, 33787872, 29337142, 29890119, 30407583, 31642488, 28967693, 29028885, 30418591, 30445434, 31841142, 33119754, 27841751, 30535108, 31701147, 33137204, 33166392, 25542617, 26322134, 28490127, 29206899, 30764761, 30841849, 31042284, 31612915, 31679514, 31754718, 33174596, 31566225, 31647099, 33442735, 27789569, 28365761, 28862395, 30805645, 27010673, 30202870, 30329093, 31494246, 31950189, 31240309, 31490686, 33035346, 33156327, 33729437, 34522848, 26227548, 31598702, 31680168, 31837751, 32386298, 26434508, 28160322, 30476227, 31665425, 31691815, 31740966, 32558264, 33104772, 33290552, 33305318, 34366563, 34387941, 33151287, 33270111, 31114900, 31584097, 31504780, 26919060, 31680153, 33221922, 33237286, 33290554, 27914894, 30357350, 31713622, 28280852, 31777943, 30395289, 31696236, 30398643, 30395331, 33125071, 31777944, 30476243, 33166387, 33170210, 29846728, 33270901, 33106848, 33156333, 33170273, 30371825, 30407545, 30407594, 32128557, 33151290, 33068428, 30407521, 31691826, 30407599, 30395287, 33231642, 31598706, 31713623","AgBioData, ADeditome, Ancestral Genomes, Analysis of Breast Cancer GWAS, APAatlas, ASL-LEX, atSNP, CarbonylDB, Chickspress, CMEP, CNCDatabase, CoCoCoNet, COG, CORUM, CoV3D, CRAFT, CSEA-DB, DrugCentral, DNAproDB, DKK, DescribePROT, Datanator, Drugmonizome, Express, FlyXCDB, FusionGDB, ExonSkipDB, HUMA, HoTResDB, HumanNet, GWAS, GlyMDB, HeRA, IRRMC, InteracDome, LINCS, KinaseMD, LitCovid, MSeqDR, Metabolic In silico Network Expansions, Milk bioactive peptide database, MOSAIC, MDB, mGAP, Microbiome Learning Repo, MIBiG, MaveDB, MiST, MitoCarta, OGRDB, Pathway Commons, O-GlcNAcAtlas, PMKB, PhagesDB, PMS_DN, PKAD, SM-TF, SequencEnG, REDfly, SliceIt, RNA Characterization of Secondary Structure Motifs, TCR3d, TMB, tRFtarget, TCRD, TIE, ToppCell, DOCKGROUND, VISDB, TSEA-DB, VetCOT, MGP Portal, ExoCarta, ATLAS, BioGRID, TFBSshape, Reactome, EnhancerAtlas, PDB, GXD, GOC, PED, DSLD, PharmGKB, GENCODE, IEDB-AR, IGSR, miRDB, Plant Reactome, UCSC Genome Browser, UniProtKB, PANTHER, SCOPe, Pfam, ENCODE, TANTIGEN, ClinVar, PRIDE, MPD, ChEMBL, GlyTouCan, CDD, STRING, International Nucleotide Sequence Database Collaboration, ZFIN, CTD, RefSeq, RNAcentral, InterPro, Gramene, PubChem, SGD, Ensembl, MGD, RGD"
"International Center for Tropical Agriculture",1,1,1,"30239679","AgBioData"
"The US Land Grant Universities",1,1,1,"30239679","AgBioData"
"Fondazione Edmund Mach",2,2,2,"30239679, 30576486","AgBioData, PhytoTypeDB"
"US Dry Pea and Lentil Council",1,1,1,"30239679","AgBioData"
"Washington Tree Fruit Research",1,1,1,"30239679","AgBioData"
"Bill and Melinda Gates Foundation",3,2,2,"30239679, 31598706","AgBioData, Ensembl"
"Agence Nationale de la Recherche",32,16,16,"30239679, 31680137, 33444113, 31605615, 32618424, 34189203, 28608363, 28791657, 30944327, 34245304, 35559777, 30380106, 31733062, 25740460, 30794542, 33305318","AgBioData, ANISEED, CALR-ETdb, LeGOO, LymphoAtlas, IsoArcH, MiSynPat, MEGALEX, monoterpene indole alkaloid database, MtExpress, MESOCOSM, OrthoInspector, ParameciumDB, PhytoREF, RESPIRE, PED"
"Consultative Group for International Agricultural Research",1,1,1,"30239679","AgBioData"
"Research and Innovation Center",1,1,1,"30239679","AgBioData"
"U.S. Department of Energy",15,8,8,"30239679, 31665416, 32986834, 33104790, 32882008, 30208844, 33137183, 33152092","AgBioData, Integrated Microbial Genomes Atlas of Biosynthetic gene Clusters, ModelSEED, PhycoCosm, TBDB, WoM, IMG/VR, GOLD"
"The Northern Pulse Growers",1,1,1,"30239679","AgBioData"
"University of Montpellier",1,1,1,"30239679","AgBioData"
"CAS",5,3,3,"31648087, 31566222, 33264402","AdditiveChem, GWAS Atlas, HERB"
"Natural Science Foundation of Tianjin",3,3,3,"31648087, 31691819, 31598699","AdditiveChem, CAUSALdb, QTLbase"
"National Key Research and Development Program of China",143,68,68,"31648087, 32608479, 33970229, 34296749, 33121433, 33693668, 33010163, 33313674, 32754758, 33068433, 29961819, 30335161, 30365030, 30788500, 31584095, 32120139, 34954426, 31504765, 31566222, 33045729, 33151298, 33264402, 33515030, 34164644, 34175476, 33045751, 33147622, 33219686, 34755873, 31157825, 32833025, 33084905, 33125077, 33126250, 33219670, 33418085, 34156447, 31950190, 32597311, 33275967, 33581334, 33997360, 34120586, 30055873, 31584089, 33010159, 33554247, 34111777, 34122478, 29617941, 33045745, 30380087, 32990749, 33074314, 33360695, 30223042, 30462313, 33068436, 33175170, 31599330, 33084874, 33175131, 33219685, 33306787, 33170268, 30204897, 30329098, 33219661","AdditiveChem, CHDGKB, ChemHub, circExp, circVAR, CMBD, cncRNAdb, ColorCells, ConoMode, CovalentInDB, dbLGL, EVmiRNA, ETCM, EnDisease, EWAS, FRCD, FertilityOnline, GMrepo, GWAS Atlas, GIMICA, GRNdb, HERB, HVIDB, HFBD, GWH, LncExpDB, KNIndex, LnCeCell, ImmReg, MENDA, MNDR, MeDAS, MASI, MloDisDB, MolluscDB, MicroPhenoDB, mPPI, PCaLiStDB, OncotRF, ncRNAVar, OGP, PCPD, NUCOME, PhoPepMass, PhaSepDB, PROTAC-DB, PMI-DB, PID, PSDX, SCRIPT-MAP, SilencerDB, SymMap, TCRdb, TransCirc, ToxinDB, TSNAdb, Cistrome DB, tsRBase, 2019nCoVR, LSD, OGEE, deepBase, Lnc2Cancer, MetaADEDB, GVM, AnimalTFDB, LncBook, LincSNP"
"National Science Foundation of China",13,6,6,"31648087, 31598709, 32510565, 30252093, 31231774, 32542382","AdditiveChem, DNMIVD, GreenCircRNA, iProX, Mr.Vc, PRMdb"
"Chinese Academy of Sciences",83,28,27,"31648087, 29209336, 33104791, 29126995, 30357418, 31584095, 33119759, 28387199, 30196115, 30371881, 31566222, 31811943, 32055858, 34175476, 33045751, 30335176, 31584086, 31620779, 28529082, 30365026, 33175170, 30364952, 31599330, 31670377, 33170268, 33196801, 30329098, 33704069","AdditiveChem, DRDB, DrugSpaceX, FVD, EDK, EWAS, gcType, GSA, HeteroMeth, iDog, GWAS Atlas, GliomaDB, GREG, GWH, LncExpDB, NucMap, PGG.Han, prokaryotic antiviral defense system, RED, Victors, 2019nCoVR, PED, LSD, NPInter, GVM, NONCODE, LncBook"
"Dutch Research Council (NWO)",18,14,14,"28376796, 27995664, 23774715, 31095607, 27899646, 29688353, 33439542, 31612915, 33822911, 25352545, 30395294, 26919060, 26496949, 31701148","AHCODA-DB, AraQTL, Autism Brain Imaging Data Exchange, CiliaCarta, FAIRDOMHub, FSD, HDG, MIBiG, MENSAdb, BDB, antiSMASH, MSeqDR, KLIFS, JASPAR"
"Agentschap NL",1,1,1,"28376796","AHCODA-DB"
"Seventh Framework Programme",10,8,8,"28376796, 31095607, 34782688, 27664130, 28086860, 29739837, 27749924, 31647100","AHCODA-DB, CiliaCarta, CyFi-MAP, ENVO, NaDH, NvERTx, SulfAtlas, BGD"
"The Australian National Data Service",1,1,1,"30231853","AgriSeqDB"
"Guangdong Provincial Hospital of Chinese Medicine Science and Technology Research Program",1,1,1,"31123286","AICD"
"the National Undergraduate Training Programs for Innovation and Entrepreneurship",1,1,1,"31123286","AICD"
"the start-up support for scientific research of Xinglin Young Scholar in Guangzhou University of Chinese Medicine",1,1,1,"31123286","AICD"
"Guangdong Science and Technology project",1,1,1,"31123286","AICD"
"“Institute for the Promotion of Innovation through Science and Technology in Flanders (IWT-Vlaanderen)”",1,1,1,"22659196","Alkamid"
"PHS HHS",23,19,16,"23193282, 26438539, 26602695, 21249531, 26503248, 23175615, 22610854, 23093593, 23125372, 25414355, 22135296, 25392405, 23180793, 24225323, 24293654, 26578581, 25510499, 25414341, 23110173","Allen Brain Atlas, CRISPRz, CRN, DIADEM, dbMAE, EuPathDB, IEDB-AR, PaVE, non-B, rrnDB, VectorBase, non-human primate reference transcriptome resource, IPD, PATRIC, SEED, DBAASP"
"NIMH NIH HHS",100,30,29,"23193282, 23774715, 29985970, 32386544, 32392296, 26019122, 27907889, 33599246, 24217912, 24336862, 26212453, 33439542, 26362267, 28592645, 22140101, 21821666, 26048622, 26578589, 29370821, 31868683, 22171328, 26323714, 31171447, 23209562, 22102583, 26590263, 26311606, 33221922, 24270788, 27587585","Allen Brain Atlas, Autism Brain Imaging Data Exchange, BrainEXP, CCFv3, CoCoCoNet, DX, denovo-db, Gemma, HPO, GIGA, Histone Antibody Specificity Database, HDG, ImmuNet, ISVdb, MethylomeDB, NeuroPedia, PedsDTI, ORegAnno, PhenoDis, QPN, seeQTL, RNASeqMetaDB, SynGO, Wiki-Pi, MPD, Lynx, UCLA Multimodal Connectivity Database, UCSC Genome Browser, REDIportal"
"NHLBI NIH HHS",145,48,33,"23193282, 26602695, 26946289, 29485625, 33787872, 27141961, 30951672, 21982653, 23504933, 33119754, 33973408, 25707505, 31701147, 34936882, 33514395, 21821666, 25102069, 22086960, 24304897, 24288368, 27643925, 30052772, 21296746, 22102583, 23730305, 33290552, 25388151, 25514926, 21321022, 27587585, 24234451, 21520341, 30395267, 25428363, 23843252, 23255149, 27980099, 26555599, 23161678, 23603846, 23794737, 23881287, 25355511, 27602200, 27736745, 29761460, 31713623, 34741192","Allen Brain Atlas, CRN, dbPEC, Datasets2Tools, Drugmonizome, Enrichr, exRNA Atlas, GenTAC, Human Proteinpedia, HeRA, hu.MAP, IIIDB, LINCS, Lung CellCards, MPM, NeuroPedia, Panorama, PrimerBank, PPD, RDP, StemCellCKB, Terabase, RGD, MPD, SGR, GOC, EVpedia, PhosphoSitePlus, REDIportal, IntAct, dbNSFP, RNAcentral, BioGRID"
"Novo Nordisk Fonden",23,18,13,"30357390, 27924032, 33010170, 23143109, 27504778, 31612915, 32079733, 29062930, 34000890, 26476456, 27794045, 33270898, 30395294, 26531826, 29156309, 31696234, 33152079, 25723102","ALEdb, antiSMASH, BiG-FAM, HemaExplorer, GNPS, MIBiG, MtSSPdb, SMBP, TELEMED, BiGG, FANTOM5, GPCRdb, JASPAR"
"Technical University of Denmark",1,1,1,"30357390","ALEdb"
"NNF Center for Biosustainability",15,11,7,"30357390, 27924032, 33010170, 27504778, 31612915, 29062930, 26476456, 30395294, 29156309, 31696234, 33152079","ALEdb, antiSMASH, BiG-FAM, GNPS, MIBiG, SMBP, BiGG"
"European Commission FP VI",1,1,1,"25762455","amamutdb.no"
"Biomedical Research Council",1,1,1,"30365033","AlloMAPS"
"Biotechnology Unit, AMU and DBT",1,1,1,"23317704","AMDD"
"Medical Research Council",127,85,62,"29040693, 34528715, 26794641, 31095607, 25270877, 23019048, 21249531, 23529715, 29385418, 31664080, 24174536, 25348407, 26590404, 30008982, 30349118, 30357393, 32726198, 24217912, 25189782, 26578596, 27976751, 29040670, 24194598, 22121219, 23060735, 25542617, 27799474, 29897419, 31504189, 24229347, 24297257, 26476444, 31584092, 22363733, 25593348, 31598690, 26746786, 34844637, 26123534, 29087479, 33095862, 24194600, 24318814, 27899279, 21447597, 24234449, 30407529, 31642470, 31724711, 32728249, 33290552, 24214962, 24270792, 25388151, 31733063, 30298402, 33270111, 31612961, 26531826, 26432830, 23109552, 26919060, 30445555, 24265223, 26935103, 24265224, 22067452, 23650175, 27899567, 29140473, 30398659, 22102590, 22127867, 24194605, 32486891, 27450113, 30395331, 30398656, 31701148, 29069413, 26555599, 23161678, 33156333, 26578574, 31598706","AmyPro, BRAIN UK, BRAINS, CiliaCarta, CODEX, CRCgene, DIADEM, Database of Instruments for Resource Use Measurement, DIBS, dendPoint, GeneProf, Genome3D, FunTree, EMDB, GeneATLAS, GENCODE, EnteroBase, HPO, GOBLET, HPMC, Hepitopes, ICTV, JASPAR, MitoMiner, MetaboLights, MSeqDR, mirDNMR, MARDy, MeLAD, NeuroGeM, NECTAR, PDBe, PDBe-KB, PrionHome, PlasmoGEM, ProCarbDB, RVS, recount3, The Mouse Genomes Project, STCRDab, ThermoMutDB, IMPC, Electronic Mouse Atlas of Gene Expression, WormBase ParaSite, UniProtKB, FlyBase, BioSamples, WormBase, SCOP, ENCODE, GOC, ELM, Gene3D, EVpedia, GWAS Central, SUPERFAMILY, CARD, Reactome, PDB, InterPro, dbNSFP, Ensembl"
"Ministry of Education",4,3,3,"30247677, 30668638, 30587128","AmtDB, CMEP, PSRN"
"Polish National Science Center",2,2,2,"30247677, 33270898","AmtDB, GPCRdb"
"NHGRI NIH HHS",422,194,120,"30371900, 30534948, 25477388, 21233089, 29637199, 29126148, 22140108, 24470572, 30486838, 23508969, 26855883, 23172289, 24122041, 27766955, 27907889, 31612957, 32227657, 33995899, 21994220, 22110038, 23161689, 23203885, 24243844, 26780094, 27664130, 30357393, 21450710, 22064851, 22123736, 24217912, 26673694, 28967693, 30445434, 34859531, 22792232, 27841751, 21856757, 22080565, 22140101, 24203705, 25542617, 26656948, 29155944, 29206899, 29284660, 31679514, 24939129, 25428349, 26578589, 29487113, 31647099, 21624156, 23378291, 24163250, 24227675, 27026615, 27799469, 28862395, 22140105, 23203869, 26097510, 29040625, 32345346, 22140109, 23197656, 26516187, 29092939, 30052772, 30053266, 34154643, 22067444, 22075990, 22080546, 22736877, 23110975, 24194600, 24267744, 25348409, 25378322, 25392405, 26590259, 30462313, 31283070, 21447597, 22102583, 22110037, 23074187, 23203987, 23245209, 24007337, 24234449, 25214827, 25352543, 26612867, 27794045, 27899622, 28150237, 29069475, 29077884, 29112718, 29145643, 31642470, 31665425, 31691815, 32728249, 33021634, 33261662, 33290552, 34387941, 23494302, 33270111, 25378336, 31584097, 26919060, 31680153, 23175610, 26481351, 33221922, 24217918, 33237286, 23487186, 27899582, 24316576, 30304474, 33290554, 26935103, 21672956, 27794554, 33436076, 30357350, 23161672, 22067452, 24214955, 27515742, 31713622, 23193272, 21520341, 27899567, 24285300, 34698891, 25428374, 28713666, 22102590, 24265222, 28838067, 26578592, 22127867, 30395267, 23203985, 23143107, 33211869, 24194605, 32486891, 29126249, 25361974, 23843252, 30395331, 30398656, 25348401, 29165610, 23161681, 33170210, 33106848, 22135293, 25414346, 29069413, 29145629, 23193274, 26555599, 23161678, 26578600, 33170273, 24253303, 29140510, 30407545, 29155950, 30407594, 22012987, 27899570, 25348405, 26097180, 30407521, 24243840, 29092072, 26519399, 26631132, 31691826, 26087747, 30407599, 30395287, 33231642, 29761460, 22086963, 34741192","Ancestral Genomes, atSNP, BARD, BIND, BiOnIC, CCDS, CharProtDB, ChEpiMod, CHESS, CistromeFinder, CressInt, dictyBase, DGIdb, e-GRASP, denovo-db, DNAproDB, dbMTS, DRscDB, FlyExpress, GeneSigDB, GeneTack, factorbook, FireDB, GenomeSpace, ENVO, GENCODE, hmChIP, HaploReg, GOA, HPO, GtRNAdb, HUMA, GWAS, gnomAD, Integrated Microbial Genomes and Metagenomes, IRRMC, modENCODE, modMine, MethylomeDB, MetaRef, MSeqDR, MG-RAST, MIST, MOSAIC, ModERN, MaveDB, PeptideAtlas, OMIM, ORegAnno, Panorama Public, Pathway Commons, PHARE-KB, PhenoDB, RADAR--a, PhosphoNetworks, PheKB, Plant Reactome, PMS_DN, ScerTF, SIFTS, SANCDB, RISE, REPIC, TAIR, TIGRFAMs, SynLethDB, TCPA, Terabase, TC3A, TE Hub, zfishbook, MGD, International Nucleotide Sequence Database Collaboration, KB, MGI, IMPC, VTO, Human Disease Ontology, UniPROBE, non-human primate reference transcriptome resource, UCSC Genome Browser, Cistrome DB, VIPdb, UniProtKB, MPD, SGD, ZFIN, Ensembl, HGNC, GRASP, FlyBase, BioPortal, RNAcentral, Dfam, FANTOM5, UniProt, UniCarbKB, APPRIS, HEDD, Rfam, MEROPS, WormBase, TFBSshape, Reactome, ENCODE, NDB, dbNSFP, GOC, PharmGKB, IGSR, Expression Atlas, Gramene, PANTHER, Pfam, EnhancerAtlas, ArrayExpress, ChiTaRS, InterPro, GOLD, RGD"
"European Union and Greek National Funds through the Operational Program ‘Competitiveness, Entrepreneurship and Innovation’",1,1,1,"31094220","AmyCo"
"Saarland University",3,3,3,"30937442, 30380090, 31691816","Animal sncRNA Atlas, PLSDB, miRPathDB"
"Michael J. Fox Foundation for Parkinson’s Research",1,1,1,"30937442","Animal sncRNA Atlas"
"Huazhong Agricultural University Scientific &amp; Technological Self-innovation Foundation",3,3,3,"31584087, 32986825, 31410488","Animal-ImputeDB, Animal-APAdb, ncRNA-eQTL"
"Fundamental Research Funds for the Central University",2,2,2,"31584087, 32487016","Animal-ImputeDB, ncRI"
"MEXT",2,2,2,"31680137, 33211864","ANISEED, FANTOM5"
"Kato Memorial Research Foundation",1,1,1,"31680137","ANISEED"
"JSPS",12,5,5,"31680137, 29206899, 28499913, 33211864, 29216398","ANISEED, MOSAIC, Soybean Proteome Database, FANTOM5, ATTED-II"
"Institut Français de Bioinformatique",2,2,2,"31680137, 31624845","ANISEED, CRISPRCasdb"
"NICHD NIH HHS",54,26,22,"31680137, 23774715, 22916227, 34482425, 26503254, 26946289, 27907889, 23340253, 24150938, 33973408, 32502232, 28490127, 29145608, 26048622, 23110975, 23125366, 26476456, 23730305, 33104772, 34387941, 30417254, 29761459, 25313157, 24316576, 24163257, 34698891","ANISEED, Autism Brain Imaging Data Exchange, CLEARPOND, CrePortal, Digital Development, dbPEC, denovo-db, EDR, GEISHA, hu.MAP, LabxDB, Milk bioactive peptide database, MeDReaders, PedsDTI, MGI, Xenbase, BiGG, SGR, GXD, PharmGKB, iSyTE, Ensembl"
"CNRS",3,3,3,"31680137, 31624845, 31733062","ANISEED, CRISPRCasdb, ParameciumDB"
"Japan Foundation for Applied Enzymology",1,1,1,"31680137","ANISEED"
"Inamori Foundation",1,1,1,"31680137","ANISEED"
"Sumitomo Foundation",2,2,2,"31680137, 33002111","ANISEED, PyDISH"
"Jiangsu Agricultural Science and Technology Independent Innovation Fund",1,1,1,"32986825","Animal-APAdb"
"Fundamental Research Funds for the Central Universities",39,28,28,"32986825, 32681639, 34856391, 32754758, 33009914, 31691822, 31277321, 32008039, 34954426, 35694152, 30380109, 32510565, 33045729, 32367112, 32512182, 33507270, 31504189, 32159764, 33219670, 32105730, 33275967, 30244175, 31161204, 31809863, 33137192, 32709339, 33175170, 33175131","Animal-APAdb, ATdb, CircR2Disease, ConoMode, CoVdb, DrLLPS, GEDS, EPSD, FertilityOnline, EnhFFL, iEKPD, GreenCircRNA, GIMICA, MACSNVdb, IRESbase, InSexBase, MeLAD, MMHub, MolluscDB, ncEP, ncRNAVar, PTMD, PRISMOID, PsyMuKB, Plant-ImputeDB, saponin mass spectrometry database, 2019nCoVR, deepBase"
"Instituto de Salud Carlos III",7,5,5,"30715274, 32076423, 33252190, 30357370, 34332522","APID, FHLdb, GRINdb, liqDB, PACHIN"
"European Project H2020",2,1,1,"30715274","APID"
"Federación Española de Enfermedades Raras",1,1,1,"30715274","APID"
"Cancer Prevention &amp; Research Institute of Texas",2,2,2,"31586392, 30203047","APAatlas, Pancan-meQTL"
"Japan Science and Technology Agency",12,10,9,"31978081, 33174597, 30046160, 30295851, 33645624, 29668970, 33125071, 30357349, 33156332, 30321428","AOE, GlycoPOST, KampoDB, jPOST, KAIKObase, MitoFish, GlyTouCan, DDBJ, KEGG"
"Fonds Wetenschappelijk Onderzoek (BE)",1,1,1,"28095775","ARA-PEPs"
"Onderzoeksraad, KU Leuven (BE)",1,1,1,"28095775","ARA-PEPs"
"Vlaams Instituut voor Biotechnologie",1,1,1,"28095775","ARA-PEPs"
"Central Institute of Medicinal and Aromatic Plants",5,2,2,"30150996, 33685383","AromaDb, MAPslnc"
"Swiss National Science Foundation",71,36,30,"32449934, 33037820, 26527719, 31665454, 30357342, 26582924, 27504778, 31353404, 22096233, 33156326, 28086860, 31617559, 24225318, 27899579, 23180783, 26578555, 28985418, 23193254, 32117874, 27899580, 28053161, 31410491, 24270792, 33270111, 33196836, 24234447, 23193273, 33180112, 33174605, 23180791, 27899657, 30664776, 30418610, 30395283, 25378343, 25428351","ASAP, Bgee, CEGA, ChlamDB, CoevDB, enviPath, GNPS, MAdb, MINAS, MetaNetX/MNXref, NaDH, PolyASite, Selectome, SNP2TFBS, SwissRegulon, SugarBindDB, SysteMHC, UCNEbase, GDB17, OrthoDB, GETPrime, ABCD, Gene3D, GENCODE, UniCarbKB, EPD, Europe PMC, OMA, GPCRdb, eggNOG"
"Chan Zuckerberg Initiative",1,1,1,"32449934","ASAP"
"EPFL",1,1,1,"32449934","ASAP"
"Precision Health &amp; related Technologies",1,1,1,"32449934","ASAP"
"Agencia Nacional de Promoción Científica y Tecnológica",6,3,3,"32507889, 31713636, 31680160","articles.ELM, DisProt, ELM"
"Cancer Research UK",29,18,16,"32507889, 25270877, 23019048, 24122843, 26590264, 31504189, 31584092, 22544707, 26123534, 26826444, 24163255, 25332396, 33237329, 25414341, 29059374, 26578585, 29858800, 31680160","articles.ELM, CODEX, CRCgene, HTS-DB, MutationAligner, MeLAD, PDBe-KB, SNPnexus, The Mouse Genomes Project, IPD-IMGT/HLA, PED, BCCTBbp, MobiDB, IPD, Gene3D, ELM"
"Consejo Nacional de Investigaciones Científicas y Técnicas",3,3,3,"32507889, 34954795, 31680160","articles.ELM, CoDNaS-RNA, ELM"
"Baden-W??rttemberg Stiftung",1,1,1,"34738791","AroCageDB"
"Deutsche Forschungsgemeinschaft",16,14,14,"34738791, 29198880, 31095607, 32459338, 34699529, 33174596, 29913065, 33749993, 34559210, 27800578, 30714194, 30165582, 34656056, 30256983","AroCageDB, AureoWiki, CiliaCarta, EpiRegio, GH19ED, MitoCarta, OptoBase, OmniPath, QSDB, SCEGRAM, SDRED, Traitpedia, SuperTCM, BacDive"
"Deutscher Akademischer Austauschdienst",2,2,2,"34738791, 28641017","AroCageDB, NANPDB"
"NIDCD NIH HHS",10,3,3,"27193158, 23774715, 26323714","ASL-LEX, Autism Brain Imaging Data Exchange, RNASeqMetaDB"
"Tufts University",2,1,1,"27193158","ASL-LEX"
"Priority Academic Program Development of Jiangsu Higher Education Institutions",3,3,3,"29321052, 29992323, 31603498","ASGDB, CeleryDB, dbInDel"
"Shanghai Sailing Program",3,3,3,"31665428, 33125077, 33306787","ASD, MASI, MetaADEDB"
"Chinese National Precise Medical Research key project",1,1,1,"31665428","ASD"
"Shanghai Health and Family Planning Commission",4,2,2,"31665428, 32941628","ASD, IDDB"
"Shanghai Municipal Education Commission",3,3,3,"31665428, 32941628, 31809863","ASD, IDDB, PsyMuKB"
"Natural Science Foundation of Shanghai Municipal Commission of Health and Family Planning",1,1,1,"31665428","ASD"
"Shanghai Natural Science Foundation",2,2,2,"31665428, 28187703","ASD, iHMS"
"Shanghai Science and Technology Innovation",2,2,2,"31665428, 32941628","ASD, IDDB"
"National Key R&amp;D Program of China Grant",1,1,1,"31843802","ASRD"
"Program for Guangdong Introducing Innovative and Entrepreneurial Teams",4,4,4,"31843802, 33406221, 34907423, 33021671","ASRD, iCysMod, iCAV, RMVar"
"Shenzhen Sci-Tech Fund",1,1,1,"31843802","ASRD"
"Central Universities in China",2,2,2,"32294195, 33313674","ASFVdb, ColorCells"
"National Key Research and Development Program",20,13,13,"32294195, 33009914, 31691822, 34097004, 29961817, 32159764, 31584086, 31640808, 32620074, 31021279, 33175170, 33196801, 32406920","ASFVdb, CoVdb, DrLLPS, DevOmics, LncCeRBase, MMHub, PGG.Han, PGG.SNV, TeaCoN, UVGD, 2019nCoVR, NONCODE, AnnoLnc"
"Hubei Province Natural Science Foundation",1,1,1,"34839012","ASER"
"Natural Science Foundation of Shaanxi Province",1,1,1,"30239683","ATD"
"National Institute of Plant Genome Research, India",1,1,1,"30624648","AtFusionDB"
